season,batter,pa_22g,ros_woba_delta_vs_prior,q10,q50,q90
2024,642708,86,-0.02401573483389552,-0.056223989567377064,-0.008277707789526911,0.04148379971238858
2024,642715,99,0.010212575452096084,-0.060145059838509374,-0.014285201706284945,0.02674789759001576
2024,642731,86,-0.06050781514316805,-0.08350827309306738,-0.034825359875417405,0.02683947471943532
2024,643217,89,-0.008752367127550953,-0.08248760713255926,-0.02871747519675777,0.026019588953114958
2024,643289,71,-0.008014087100107314,-0.06542327944167187,0.004157396010394165,0.06501223144610035
2024,643376,82,-0.09608172712227242,-0.0649321524413437,-0.02289839024690299,0.03286365127790419
2024,643396,74,0.015647245106341856,-0.04900695641629543,0.010713537652625615,0.07199976487679127
2024,643446,85,-0.02901248341465601,-0.07055789967182372,-0.02153668581650403,0.02378713909554575
2024,643565,80,-0.00686030053448361,-0.045877375156571254,0.0010527175972074865,0.04782627891555741
2024,645277,102,-0.053746938522097776,-0.0649321524413437,-0.01655992426373787,0.031031137845286667
2024,645302,55,0.08375803512296703,-0.07055789967182372,-0.010695388285209273,0.04443879855465216
2024,645444,63,0.07092773341220543,-0.06542327944167187,0.002383910642570264,0.079734771225348
2024,646240,98,-0.011440804894264633,-0.06875273810203808,-0.024559324893730528,0.027087720178904984
2024,647304,93,-0.022301936761827013,-0.04960410487527461,-0.00932393575987095,0.04464233607719398
2024,647351,79,-0.10112502804400963,-0.0994611097117944,-0.03561123569473651,0.021777070403464105
2024,650333,99,-0.030230344960955613,-0.07750941916790882,-0.02714094288327984,0.017839055061426468
2024,650391,90,-0.06650778602452728,-0.07171864820036883,-0.02396300097746526,0.022272494397737264
2024,650402,95,-0.006099896870023547,-0.07873869049768342,-0.02815087017403267,0.01967999200531345
2024,650489,80,0.029140214734148517,-0.07189696934836515,-0.01786198516815729,0.048475045485915025
2024,650490,97,-0.029778221468747312,-0.09194010627902799,-0.037269043561307114,0.01798830557055786
2024,650559,94,-0.036569443574841376,-0.05433887167074947,-0.007009276186771218,0.03769560958259249
2024,650859,80,0.03473495660890619,-0.07946430179528247,-0.027779885929535064,0.03096530419983462
2024,655316,56,-0.04563122923588042,-0.06992416756045666,-0.009889251738690708,0.04314729953024715
2024,656305,92,0.02852572061320474,-0.050788116806176564,-0.005541411614239211,0.03940381737895787
2024,656413,70,0.03222959543288523,-0.0704035027206502,-0.009027199123757046,0.041215998507665164
2024,656537,66,0.046875445928779014,-0.02334307894041876,0.026051079532687094,0.10482446830607589
2024,656541,74,0.048727041827977546,-0.05457134006194317,0.003105158730158708,0.0671047101359455
2024,656555,92,-0.044222045634971174,-0.07420631625620067,-0.029186799915606687,0.022975693814620002
2024,656577,62,-0.006950354609929044,-0.06729195224188966,0.018057252583841166,0.1451298701298701
2024,656582,87,-0.03591564880700959,-0.06914032126245911,-0.018501062213583497,0.026312577522027814
2024,656716,59,-0.009792639561361227,-0.0747566127750052,-0.007528830470832137,0.0506903139608334
2024,656775,83,-0.017992129351933173,-0.06914032126245911,-0.01655992426373787,0.03760315318137836
2024,656811,79,0.020787028703615484,-0.037929396263752274,0.019167633264410677,0.0894416375178132
2024,656896,75,-0.004269172135220101,-0.06575369343358828,-0.00805853764333192,0.043924611973392425
2024,656941,98,0.01067009124480467,-0.07775964872271607,-0.02548005617639465,0.03635525897086084
