season,pitcher,starts_full
2024,608718,3
2024,615698,29
2024,621097,1
2024,621107,28
2024,621111,16
2024,621112,14
2024,621114,4
2024,621199,1
2024,621244,32
2024,621383,2
2024,621389,12
2024,622072,9
2024,622491,30
2024,622608,3
2024,622663,31
2024,622694,1
2024,623167,30
2024,624133,27
2024,625643,25
2024,628317,17
2024,630023,6
2024,640455,32
2024,640462,4
2024,641154,32
2024,641302,9
2024,641312,2
2024,641482,30
2024,641540,15
2024,641582,1
2024,641585,5
2024,641703,1
2024,641712,18
2024,641726,1
2024,641745,2
2024,641771,1
2024,641793,29
2024,641816,3
2024,641927,31
2024,641941,1
2024,642121,2
2024,642216,2
2024,642239,3
2024,642520,2
2024,642546,1
2024,642547,32
2024,642834,1
2024,646242,1
2024,647336,9
2024,650633,30
2024,650644,31
2024,650911,31
2024,656186,1
2024,656271,1
2024,656288,31
2024,656302,33
2024,656412,6
2024,656427,28
2024,656550,7
2024,656557,30
2024,656605,31
2024,656731,15
2024,656756,21
2024,656849,21
2024,656876,4
2024,657006,24
2024,657277,33
2024,657376,16
2024,657514,3
2024,657649,6
2024,657746,23
2024,660761,3
2024,661563,29
2024,663362,26
2024,663372,30
2024,663436,10
2024,663465,4
2024,663474,16
2024,663554,20
2024,663559,28
2024,663567,3
2024,663574,1
2024,663623,33
2024,663687,9
2024,663738,3
2024,663765,7
2024,663773,2
2024,663776,16
2024,663855,20
2024,663878,1
2024,663903,32
2024,663941,1
2024,663947,9
2024,663969,7
2024,663978,17
2024,664192,2
2024,664285,28
2024,664299,7
2024,664350,7
2024,665152,24
2024,665622,8
2024,665795,20
2024,665871,29
2024,666129,7
2024,666142,32
2024,666157,21
2024,666159,5
2024,666200,12
2024,666201,5
2024,667725,7
2024,667755,20
2024,668676,3
2024,668678,28
2024,668868,2
2024,668873,1
2024,668874,1
2024,668881,26
2024,668909,16
2024,668933,15
2024,668964,25
2024,669022,32
2024,669060,9
2024,669062,10
2024,669084,7
2024,669165,1
2024,669194,25
2024,669203,32
2024,669302,33
2024,669330,3
2024,669358,14
2024,669372,6
2024,669373,31
2024,669387,4
2024,669432,25
2024,669438,1
2024,669456,2
2024,669461,6
2024,669467,20
2024,669620,4
2024,669713,7
2024,669721,6
2024,669724,3
2024,669854,29
2024,669923,33
2024,670046,1
2024,670102,13
2024,670124,8
2024,670174,6
2024,670241,2
2024,670766,5
2024,670950,2
2024,671096,25
2024,671106,20
2024,671131,1
2024,671212,10
2024,671737,25
2024,672282,17
2024,672456,16
2024,672710,3
2024,672851,1
2024,673540,1
2024,674003,13
2024,674072,7
2024,674370,9
2024,675540,5
2024,675627,2
2024,675650,2
2024,675911,2
2024,675921,3
2024,676106,12
2024,676130,7
2024,676254,1
2024,676272,13
2024,676282,8
2024,676428,1
2024,676440,31
2024,676477,4
2024,676596,3
2024,676664,32
2024,676710,33
2024,676714,2
2024,676775,12
2024,676879,2
2024,676962,8
2024,676974,11
2024,676979,32
2024,677161,3
2024,677944,13
2024,677958,3
2024,677960,16
2024,678061,2
2024,678368,13
2024,678394,30
2024,678495,1
2024,678692,1
2024,679156,1
2024,679525,25
2024,680570,20
2024,680573,28
2024,680686,2
2024,680694,8
2024,680704,1
2024,680730,29
2024,680732,3
2024,680736,6
2024,680742,1
2024,680744,1
2024,680885,21
2024,680897,8
2024,681035,9
2024,681066,4
2024,681190,20
2024,681217,2
2024,681293,28
2024,681432,1
2024,681857,22
2024,681867,18
2024,681869,2
2024,682052,1
2024,682227,3
2024,682243,31
2024,682610,17
2024,682847,15
2024,682990,7
2024,683003,22
2024,683004,6
2024,683155,24
2024,683627,1
2024,684007,29
2024,684320,21
2024,685116,1
2024,685299,8
2024,685801,1
2024,686563,21
2024,686613,30
2024,686730,10
2024,686751,1
2024,686752,26
2024,686796,2
2024,686799,11
2024,686973,7
2024,687134,6
2024,687424,1
2024,687765,24
2024,687792,19
2024,687924,7
2024,688107,5
2024,689017,12
2024,689147,2
2024,689225,12
2024,689672,9
2024,689958,1
2024,689981,4
2024,690829,1
2024,690916,4
2024,690986,24
2024,691441,1
2024,691951,3
2024,692230,3
2024,693433,22
2024,693821,10
2024,694297,32
2024,694363,4
2024,694462,2
2024,694646,1
2024,694738,4
2024,694813,25
2024,694973,23
2024,695076,6
2024,696131,8
2024,696136,10
2024,700241,3
2024,700249,16
2024,700270,4
2024,700363,1
2024,700669,1
2024,701542,5
2024,701581,13
2024,702352,2
2024,702674,3
2024,800049,8
2024,805673,9
2024,806185,16
2024,808967,18
2024,814005,3
2025,434378,29
2025,448179,2
2025,450203,27
2025,453286,17
2025,471911,9
2025,477132,22
2025,489119,2
2025,500779,24
2025,502043,4
2025,506433,15
2025,518489,1
2025,518876,32
2025,519141,4
2025,519242,20
2025,527048,10
2025,542881,26
2025,542888,2
2025,543056,1
2025,543101,4
2025,543135,22
2025,543243,32
2025,543294,31
2025,544150,1
2025,547179,26
2025,554430,24
2025,570632,6
2025,571510,31
2025,571578,30
2025,571760,23
2025,571927,2
2025,571945,31
2025,573186,9
2025,579328,33
2025,592254,1
2025,592332,32
2025,592662,32
2025,592791,23
2025,592836,21
2025,592866,17
2025,593423,7
2025,593958,29
2025,593974,1
2025,594798,30
2025,594902,9
2025,595345,1
2025,596295,12
2025,601713,31
2025,605130,1
2025,605135,31
2025,605280,31
2025,605288,21
2025,605400,17
2025,605452,1
2025,605483,11
2025,605488,30
2025,605513,1
2025,605540,12
2025,606965,1
2025,606996,6
2025,607067,27
2025,607074,33
2025,607192,18
2025,607200,24
2025,607259,26
2025,607455,1
2025,607481,2
2025,607536,31
2025,607625,26
2025,608331,32
2025,608337,26
2025,608372,30
2025,608379,31
2025,608566,26
2025,608650,3
2025,608718,3
2025,615698,26
2025,621107,14
2025,621111,24
2025,621112,4
2025,621121,13
2025,621244,30
2025,621383,1
2025,622379,2
2025,622491,32
2025,622503,5
2025,622608,23
2025,622663,29
2025,623167,1
2025,623211,3
2025,623437,1
2025,624133,26
2025,625643,1
2025,640455,12
2025,641154,14
2025,641302,5
2025,641482,8
2025,641656,1
2025,641672,1
2025,641745,1
2025,641778,15
2025,641793,32
2025,641816,16
2025,641927,27
2025,642152,2
2025,642216,1
2025,642232,8
2025,642239,1
2025,642547,33
2025,643377,2
2025,645261,31
2025,647336,17
2025,650633,15
2025,650644,18
2025,650911,32
2025,656222,2
2025,656240,2
2025,656271,1
2025,656288,16
2025,656302,32
2025,656427,31
2025,656457,5
2025,656550,21
2025,656557,9
2025,656605,32
2025,656641,8
2025,656731,14
2025,656794,5
2025,656849,30
2025,656876,31
2025,657006,3
2025,657277,34
2025,657376,14
2025,657424,2
2025,657514,3
2025,657585,1
2025,657746,30
2025,660271,14
2025,660730,2
2025,660761,1
2025,661563,11
2025,663362,1
2025,663372,6
2025,663399,1
2025,663436,25
2025,663460,20
2025,663465,2
2025,663485,3
2025,663546,1
2025,663554,28
2025,663559,24
2025,663568,19
2025,663623,33
2025,663738,2
2025,663795,1
2025,663855,9
2025,663903,32
2025,663941,1
2025,663947,6
2025,663969,1
2025,663978,28
2025,664062,7
2025,664141,1
2025,664285,31
2025,664299,8
2025,665152,29
2025,665625,1
2025,665795,26
2025,665871,7
2025,666142,13
2025,666157,28
2025,666171,1
2025,666200,32
2025,666214,13
2025,667755,31
2025,668678,33
2025,668881,19
2025,668909,31
2025,668964,6
2025,668984,1
2025,669020,1
2025,669022,30
2025,669060,5
2025,669084,3
2025,669145,1
2025,669160,23
2025,669194,23
2025,669199,1
2025,669203,11
2025,669211,3
2025,669302,25
2025,669308,1
2025,669330,4
2025,669358,31
2025,669372,16
2025,669373,31
2025,669387,12
2025,669422,1
2025,669432,18
2025,669456,7
2025,669461,29
2025,669467,31
2025,669620,1
2025,669713,6
2025,669721,2
2025,669854,9
2025,669920,13
2025,669923,23
2025,670102,14
2025,670329,1
2025,670912,9
2025,671096,29
2025,671106,29
2025,671212,9
2025,671737,27
2025,672456,12
2025,672582,2
2025,672782,9
2025,673540,22
2025,673929,1
2025,674370,10
2025,674841,5
2025,674944,1
2025,675512,4
2025,675911,23
2025,676083,16
2025,676106,16
2025,676263,5
2025,676272,1
2025,676282,13
2025,676428,4
2025,676440,31
2025,676467,14
2025,676508,3
2025,676664,27
2025,676879,1
2025,676917,10
2025,676961,1
2025,676962,15
2025,676974,12
2025,676979,32
2025,677651,2
2025,677944,23
2025,677952,8
2025,677958,14
2025,677960,8
2025,678022,4
2025,678024,3
2025,678368,6
2025,678394,28
2025,678906,7
2025,680573,22
2025,680684,6
